name	policy	variant	epochs	batch_size
dp_timm	dp	train_diffusion_unet_timm_polyumi_workspace	120	32
polytouch	vista	polytouch	120	4
see_hear_feel	vista	see_hear_feel	120	8
sparsh_x	vista	sparsh_x	120	8
vista	vista	vista	120	8
vista_vt	vista	vista_vt	120	8
vista_va	vista	vista_va	120	8
vista_v	vista	vista_v	120	8
